Night at the Museum: Kahmunrah Rises Again,5.0,"Animation, Adventure, Comedy"
The Emoji Movie,3.4,"Animation, Adventure, Comedy"
Rise of the Guardians,7.2,"Animation, Action, Adventure"
I Want to Eat Your Pancreas,8.0,"Animation, Drama, Family"
Penguins of Madagascar,6.6,"Animation, Action, Adventure"
Alvin and the Chipmunks: The Squeakquel,4.5,"Animation, Adventure, Comedy"
The Rescuers,6.9,"Animation, Adventure, Comedy"
The Bob's Burgers Movie,7.0,"Animation, Adventure, Comedy"
Winnie the Pooh,7.1,"Animation, Adventure, Comedy"
Demon Slayer: Kimetsu no Yaiba - Tsuzumi Mansion Arc,8.9,"Animation, Action, Fantasy"
Injustice,6.4,"Animation, Action, Adventure"
Wolfwalkers,8.0,"Animation, Action, Adventure"
Hop,5.4,"Animation, Adventure, Comedy"
The Simpsons Movie,7.3,"Animation, Adventure, Comedy"
Planes,5.7,"Animation, Adventure, Comedy"
Whisper of the Heart,7.9,"Animation, Drama, Family"
Fantastic Planet,7.7,"Animation, Sci-Fi"
The Boss Baby: Family Business,5.9,"Animation, Adventure, Comedy"
Rio 2,6.3,"Animation, Adventure, Comedy"
The Lego Ninjago Movie,6.0,"Animation, Action, Adventure"
Bedknobs and Broomsticks,7.0,"Animation, Adventure, Comedy"
Epic Tales,6.2,"Animation, Adventure, Comedy"
The Rescuers Down Under,6.8,"Animation, Adventure, Comedy"
Loving Vincent,7.8,"Animation, Drama, Mystery"
The Great Mouse Detective,7.1,"Animation, Adventure, Family"
Fantasia,7.7,"Animation, Family, Fantasy"
Titan A.E.,6.6,"Animation, Action, Adventure"
Neon Genesis Evangelion: The End of Evangelion,8.1,"Animation, Action, Drama"
An American Tail,6.9,"Animation, Adventure, Comedy"
Waking Life,7.7,"Animation, Drama, Fantasy"
The Angry Birds Movie 2,6.4,"Animation, Action, Adventure"
All Dogs Go to Heaven,6.7,"Animation, Adventure, Comedy"
Scoob!,5.6,"Animation, Adventure, Comedy"
Astro Boy,6.2,"Animation, Action, Adventure"
The Secret of NIMH,7.5,"Animation, Adventure, Drama"
Looney Tunes: Back in Action,5.8,"Animation, Adventure, Comedy"
The Pagemaster,6.1,"Animation, Adventure, Comedy"
Osmosis Jones,6.3,"Animation, Action, Adventure"
Mr. Peabody & Sherman,6.8,"Animation, Adventure, Comedy"
Captain Underpants: The First Epic Movie,6.2,"Animation, Action, Adventure"
Pete's Dragon,6.3,"Animation, Adventure, Comedy"
The Cat Returns,7.1,"Animation, Adventure, Comedy"
The Smurfs,5.4,"Animation, Adventure, Comedy"
The Ice Age Adventures of Buck Wild,4.3,"Animation, Adventure, Comedy"
